transaction_id,tx_date,description,amount,revenue,expenses,tx_type,category,payment_method,department,city,status
TX223,2026-03-23,Online Order,9300,9300,3500,Sale,Ecommerce,Card,Sales,Prizren,Completed
TX224,2026-03-24,Transport Cost,1700,3900,1700,Expense,Transport,Cash,Operations,Ferizaj,Completed
TX225,2026-03-25,Consulting Service,31000,31000,11200,Sale,Services,Bank Transfer,Consulting,Gjilan,Completed
TX226,2026-03-26,Product Sale,7800,7800,2800,Sale,Retail,Cash,Sales,Prishtina,Completed
TX227,2026-03-27,Office Rent,7200,8500,7200,Expense,Rent,Bank Transfer,Administration,Prizren,Completed
TX228,2026-03-28,Online Order,21500,21500,8200,Sale,Ecommerce,Card,Sales,Ferizaj,Completed
TX229,2026-03-29,Software Subscription,3600,9400,3600,Expense,Software,Card,IT,Gjilan,Completed
TX230,2026-03-30,Service Payment,12800,12800,4700,Sale,Services,Bank Transfer,Sales,Prishtina,Completed
TX231,2026-04-01,Product Sale,2600,2600,900,Sale,Retail,Cash,Sales,Prizren,Completed
TX232,2026-04-02,Online Order,28700,28700,10600,Sale,Ecommerce,Card,Sales,Gjilan,Completed
TX233,2026-04-03,Equipment Purchase,42000,6800,42000,Expense,Equipment,Bank Transfer,Operations,Prishtina,Completed
TX234,2026-04-04,Consulting Service,9200,9200,2800,Sale,Services,Bank Transfer,Consulting,Ferizaj,Completed
TX235,2026-04-05,Marketing Campaign,24000,27500,24000,Expense,Marketing,Card,Marketing,Prizren,Completed
TX236,2026-04-06,Product Sale,16800,16800,5900,Sale,Retail,Cash,Sales,Gjilan,Completed
TX237,2026-04-07,Office Supplies,1900,3500,1900,Expense,Office,Card,Administration,Prishtina,Completed
TX238,2026-04-08,Online Order,4600,4600,1700,Sale,Ecommerce,Card,Sales,Ferizaj,Completed
TX239,2026-04-09,Service Payment,35200,35200,13100,Sale,Services,Bank Transfer,Sales,Prizren,Completed
TX240,2026-04-10,Transport Cost,6200,7800,6200,Expense,Transport,Cash,Operations,Gjilan,Completed
TX241,2026-04-11,Product Sale,10100,10100,3700,Sale,Retail,Card,Sales,Prishtina,Completed
TX242,2026-04-12,Software Subscription,5400,11200,5400,Expense,Software,Card,IT,Ferizaj,Completed
TX243,2026-04-13,Online Order,19200,19200,7200,Sale,Ecommerce,Card,Sales,Prizren,Completed
TX244,2026-04-14,Marketing Campaign,4700,13500,4700,Expense,Marketing,Bank Transfer,Marketing,Gjilan,Completed
TX245,2026-04-15,Consulting Service,61000,61000,22500,Sale,Services,Bank Transfer,Consulting,Prishtina,Completed
TX246,2026-04-16,Product Sale,7300,7300,2500,Sale,Retail,Cash,Sales,Ferizaj,Completed
TX247,2026-04-17,Equipment Purchase,31500,9000,31500,Expense,Equipment,Bank Transfer,Operations,Prizren,Completed
TX248,2026-04-18,Online Order,5200,5200,1900,Sale,Ecommerce,Card,Sales,Gjilan,Completed
TX249,2026-04-19,Service Payment,28500,28500,9800,Sale,Services,Bank Transfer,Sales,Prishtina,Completed
TX250,2026-04-20,Office Rent,8100,9800,8100,Expense,Rent,Bank Transfer,Administration,Ferizaj,Completed
TX251,2026-04-21,Product Sale,13800,13800,5100,Sale,Retail,Cash,Sales,Prizren,Completed
TX252,2026-04-22,Marketing Campaign,19800,25000,19800,Expense,Marketing,Card,Marketing,Gjilan,Completed
TX253,2026-04-23,Online Order,31400,31400,11800,Sale,Ecommerce,Card,Sales,Prishtina,Completed
TX254,2026-04-24,Transport Cost,2800,6200,2800,Expense,Transport,Cash,Operations,Ferizaj,Completed
TX255,2026-04-25,Consulting Service,47500,47500,16800,Sale,Services,Bank Transfer,Consulting,Prizren,Completed
TX256,2026-04-26,Product Sale,5900,5900,2100,Sale,Retail,Cash,Sales,Gjilan,Completed
TX257,2026-04-27,Software Subscription,7300,14500,7300,Expense,Software,Card,IT,Prishtina,Completed
TX258,2026-04-28,Online Order,8300,8300,3100,Sale,Ecommerce,Card,Sales,Ferizaj,Completed
TX259,2026-04-29,Service Payment,68000,68000,25500,Sale,Services,Bank Transfer,Sales,Gjilan,Completed
TX260,2026-04-30,Equipment Purchase,52000,12000,52000,Expense,Equipment,Bank Transfer,Operations,Prishtina,Completed
